x1,x2
제1654차 서울 서교동 다세대 신축사업 5차#2순위,"수익률(연)14%?투자기간10개월?등급D2?모집금액5,000만원?투자인원99명"
제1646차 여주대 인근 기숙사형 다가구주택 B 신축사업 1차#1순위,"수익률(연)12.77%?투자기간9개월?등급B3?모집금액4,840만원?투자인원165명"
제1645차 여주대 인근 기숙사형 다가구주택 A 신축사업 2차#1순위,"수익률(연)12.77%?투자기간7개월?등급B3?모집금액2억8,080만원?투자인원676명"
제1644차 여주대 인근 기숙사형 다가구주택 A 신축사업 1차#1순위 #법인전용상품,"수익률(연)12.77%?투자기간7개월?등급B3?모집금액2억6,000만원?투자인원5명"
제1641차 서초 방배동 신구아파트 담보상품 3차#1순위 #법인전용상품,"수익률(연)9%?투자기간12개월?등급A2?모집금액6억2,500만원?투자인원1명"
제1640차 화성 청계동 시범계룡리슈빌아파트 담보상품 2차#2순위 #법인전용상품,수익률(연)9%?투자기간12개월?등급A2?모집금액3억원?투자인원1명
제1637차 합천아파트 신축사업 2순위#2순위,수익률(연)14.5%?투자기간7개월?등급D2?모집금액4억원?투자인원634명
제1635차 화성 청계동 시범계룡리슈빌아파트 담보상품#2순위,"수익률(연)9%?투자기간12개월?등급A2?모집금액1,000만원?투자인원31명"
제1630차 합천아파트 신축사업 28차#1순위,수익률(연)12.98%?투자기간4개월?등급B2?모집금액2억원?투자인원334명
제1628차 제주 신화월드 인근 공동주택 신축사업 22차#1순위,"수익률(연)12.21%?투자기간5개월?등급B1?모집금액3억5,000만원?투자인원675명"
제1624차 송파 신천동 현대타워아파트 리파이낸싱 2차#2순위,"수익률(연)9.5%?투자기간6개월?등급A3?모집금액2,000만원?투자인원36명"
제1610차 서귀포 산방산 타운하우스 신축사업 8차#1순위,"수익률(연)12.77%?투자기간5개월?등급B3?모집금액3억3,990만원?투자인원668명"
제1608차 서산 테크노밸리 근린생활시설 신축사업 32차#1순위,수익률(연)14.5%?투자기간6개월?등급C3?모집금액3억원?투자인원580명
제1594차 송파 신천동 현대타워아파트 리파이낸싱#2순위,"수익률(연)9.5%?투자기간6개월?등급A3?모집금액1억1,000만원?투자인원220명"
제1592차 제주 신화월드 인근 공동주택 신축사업 21차#1순위,"수익률(연)12.21%?투자기간5개월?등급B1?모집금액6억8,000만원?투자인원1,332명"
제1591차 제주 신화월드 인근 공동주택 신축사업 20차#1순위 #법인전용상품,"수익률(연)12.21%?투자기간5개월?등급B1?모집금액1억2,000만원?투자인원3명"
제1575차 용인 메종 포레스트 타운하우스 D 신축사업 리파이낸싱 4차#1순위 #법인전용상품,"수익률(연)12.42%?투자기간3개월?등급B2?모집금액8,000만원?투자인원2명"
제1568차 서울 서교동 다세대 신축사업 4차#2순위,"수익률(연)14%?투자기간10개월?등급D2?모집금액5,000만원?투자인원74명"
제1565차 용인 메종 포레스트 타운하우스 D 신축사업 리파이낸싱 3차#1순위,"수익률(연)12.42%?투자기간3개월?등급B2?모집금액8억8,000만원?투자인원1,111명"
제1562차 수원 북수동 상가주택 신축사업B 4차#2순위,"수익률(연)15%?투자기간5개월?등급D2?모집금액5,000만원?투자인원91명"
제1560차 서울 서교동 다세대 신축사업 3차#2순위 #법인전용상품,수익률(연)14%?투자기간10개월?등급D2?모집금액2억원?투자인원4명
제1559차 용인 메종 포레스트 타운하우스 D 신축사업 리파이낸싱 2차#1순위,"수익률(연)12.42%?투자기간3개월?등급B2?모집금액9억9,902만원?투자인원1,497명"
제1555차 용인 메종 포레스트 타운하우스 D 신축사업 리파이낸싱#1순위,"수익률(연)12.42%?투자기간3개월?등급B2?모집금액10억원?투자인원1,417명"
제1549차 전주 만성지구 나눔둥지타운 상가 신축사업 11차#1순위 #법인전용상품,"수익률(연)12%?투자기간13개월?등급B2?모집금액3억2,000만원?투자인원1명"
제1539차 광진 자양동 광진트라팰리스 리파이낸싱#2순위,수익률(연)9%?투자기간6개월?등급A2?모집금액1억80만원?투자인원153명
제1535차 인천 주안동 생활형숙박시설 신축사업 6차#1순위,"수익률(연)12.56%?투자기간4개월?등급B2?모집금액4,000만원?투자인원38명"
제1534차 송파 잠실동 현대아파트 담보상품#2순위,"수익률(연)9%?투자기간12개월?등급A2?모집금액1억3,000만원?투자인원235명"
제1533차 수원 세류동 단독주택 담보상품#1순위,"수익률(연)9.5%?투자기간12개월?등급A2?모집금액1억5,000만원?투자인원290명"
제1532차 서귀포 산방산 타운하우스 신축사업 7차#1순위,"수익률(연)12.77%?투자기간6개월?등급B3?모집금액1억5,000만원?투자인원385명"
제1531차 서산 테크노밸리 근린생활시설 신축사업 31차#1순위,수익률(연)14.5%?투자기간6개월?등급C3?모집금액3억원?투자인원638명
제1524차 성남 서현동 서현모닝빌 담보상품#1순위,"수익률(연)9.5%?투자기간12개월?등급A2?모집금액1억8,000만원?투자인원410명"
제1522차 인천 용현동 오피스텔 및 근린상가 신축사업 14차#1순위,"수익률(연)12%?투자기간7개월?등급B1?모집금액9,500만원?투자인원209명"
제1521차 인천 용현동 오피스텔 및 근린상가 신축사업 13차#1순위 #법인전용상품,"수익률(연)12%?투자기간7개월?등급B1?모집금액1억3,500만원?투자인원3명"
제1511차 송파 장지동 위례24단지꿈에그린 리파이낸싱#2순위,수익률(연)9%?투자기간6개월?등급A2?모집금액1억50만원?투자인원71명
제1509차 진안군청 인근 연립주택 신축사업 10차#1순위,"수익률(연)12.28%?투자기간6개월?등급B1?모집금액1억1,000만원?투자인원243명"
제1508차 동작 사당동 단독주택 담보상품#1순위,"수익률(연)9.3%?투자기간12개월?등급A3?모집금액2억5,000만원?투자인원377명"
제1501차 성동 옥수동 옥수하이츠 리파이낸싱 2차#2순위,"수익률(연)9%?투자기간6개월?등급A2?모집금액1억3,000만원?투자인원240명"
제1494차 구로 개봉동 한마을아파트 리파이낸싱#2순위,"수익률(연)9%?투자기간6개월?등급A2?모집금액1억2,000만원?투자인원307명"
제1489차 성동 옥수동 옥수하이츠 리파이낸싱#2순위,수익률(연)9%?투자기간6개월?등급A2?모집금액1억원?투자인원220명
제1488차 종로 구기동 건덕빌라 리파이낸싱#2순위,수익률(연)9.5%?투자기간6개월?등급A2?모집금액1억원?투자인원274명
제1487차 강남 청담동 진흥아파트 담보상품#3순위,"수익률(연)9.2%?투자기간12개월?등급A2?모집금액3,000만원?투자인원87명"
제1485차 마포 현석동 래미안웰스트림 리파이낸싱#2순위,"수익률(연)9%?투자기간6개월?등급A2?모집금액4억5,000만원?투자인원591명"
제1480차 영등포 도림동 아트자이아파트 리파이낸싱#2순위,"수익률(연)9%?투자기간6개월?등급A2?모집금액1억2,000만원?투자인원276명"
제1476차 강서 방화동 한숲마을대림아파트 리파이낸싱#2순위,"수익률(연)9%?투자기간6개월?등급A2?모집금액8,000만원?투자인원111명"
제1475차 강서 염창동 이너스양화6차 리파이낸싱#2순위,"수익률(연)9%?투자기간6개월?등급A2?모집금액5,000만원?투자인원111명"
제1474차 강서 마곡동 마곡엠밸리 리파이낸싱#3순위,"수익률(연)9%?투자기간6개월?등급A2?모집금액5,000만원?투자인원92명"
제1466차 합천아파트 신축사업 27차#1순위,"수익률(연)12.98%?투자기간5개월?등급B2?모집금액5억원?투자인원1,074명"
제1465차 제주 신화월드 인근 공동주택 신축사업 19차#1순위,"수익률(연)12.21%?투자기간6개월?등급B1?모집금액8억원?투자인원1,403명"
제1464차 양평역 인근 다세대 신축사업 6차#1순위,"수익률(연)13%?투자기간5개월?등급C1?모집금액1억9,000만원?투자인원362명"
제1462차 마포 토정동 한강삼성아파트 리파이낸싱#2순위,수익률(연)9%?투자기간6개월?등급A2?모집금액1억원?투자인원199명
제1459차 노원 하계동 학여울청구아파트 담보상품#2순위,"수익률(연)8.5%?투자기간6개월?등급A1?모집금액5,000만원?투자인원87명"
제1458차 하남 덕풍동 풍산아이파크 리파이낸싱#2순위,"수익률(연)9.5%?투자기간6개월?등급A3?모집금액3,000만원?투자인원78명"
제1457차 서초 잠원동 상지리츠빌카일룸 리파이낸싱 2차#2순위,"수익률(연)9%?투자기간6개월?등급A3?모집금액6억원?투자인원1,144명"
제1456차 제주 신화월드 인근 공동주택 신축사업 18차#1순위,수익률(연)12.21%?투자기간6개월?등급B1?모집금액5억원?투자인원883명
제1455차 서울 동선동 5가 다세대 신축사업 12차#2순위,"수익률(연)15%?투자기간8개월?등급D2?모집금액7,000만원?투자인원53명"
제1453차 서초 잠원동 상지리츠빌카일룸 리파이낸싱#2순위,수익률(연)9%?투자기간6개월?등급A3?모집금액3억원?투자인원452명
제1452차 서산 테크노밸리 근린생활시설 신축사업 30차#1순위,수익률(연)14.5%?투자기간7개월?등급C3?모집금액1억원?투자인원178명
제1450차 중구 신당동 단독주택 담보대출 22차#2순위 #법인전용상품,"수익률(연)8.5%?투자기간3개월?등급A2?모집금액1억8,000만원?투자인원3명"
제1449차 중구 신당동 단독주택 담보대출 21차#2순위,수익률(연)8.5%?투자기간3개월?등급A2?모집금액1억원?투자인원171명
제1447차 수원 북수동 상가주택 신축사업A 6차#2순위,수익률(연)15%?투자기간7개월?등급D2?모집금액1억원?투자인원128명
