"x1","x2","번호","지역","지역2","순위","차수","수익률","투자기간","등급","모집금액","투자인원","TARGET"
"제1624차 송파 신천동 현대타워아파트 리파이낸싱 2차#2순위","수익률(연)9.5%?투자기간6개월?등급A3?모집금액2,000만원?투자인원36명",1624,"송파","신천동",2,2,9.5,6,"A3",2000,36,"상환완료"
"제1610차 서귀포 산방산 타운하우스 신축사업 8차#1순위","수익률(연)12.77%?투자기간5개월?등급B3?모집금액3억3,990만원?투자인원668명",1610,"서귀포","산방산",1,8,12.77,5,"B3",33990,668,"상환완료"
"제1608차 서산 테크노밸리 근린생활시설 신축사업 32차#1순위","수익률(연)14.5%?투자기간6개월?등급C3?모집금액3억원?투자인원580명",1608,"서산","테크노밸리",1,32,14.5,6,"C3",30000,580,"상환완료"
"제1594차 송파 신천동 현대타워아파트 리파이낸싱#2순위","수익률(연)9.5%?투자기간6개월?등급A3?모집금액1억1,000만원?투자인원220명",1594,"송파","신천동",2,1,9.5,6,"A3",11000,220,"상환완료"
"제1592차 제주 신화월드 인근 공동주택 신축사업 21차#1순위","수익률(연)12.21%?투자기간5개월?등급B1?모집금액6억8,000만원?투자인원1,332명",1592,"제주","신화월드",1,21,12.21,5,"B1",68000,1332,"상환완료"
"제1568차 서울 서교동 다세대 신축사업 4차#2순위","수익률(연)14%?투자기간10개월?등급D2?모집금액5,000만원?투자인원74명",1568,"서울","서교동",2,4,14,10,"D2",5000,74,"상환완료"
"제1565차 용인 메종 포레스트 타운하우스 D 신축사업 리파이낸싱 3차#1순위","수익률(연)12.42%?투자기간3개월?등급B2?모집금액8억8,000만원?투자인원1,111명",1565,"용인","메종",1,3,12.42,3,"B2",88000,1111,"상환완료"
"제1562차 수원 북수동 상가주택 신축사업B 4차#2순위","수익률(연)15%?투자기간5개월?등급D2?모집금액5,000만원?투자인원91명",1562,"수원","북수동",2,4,15,5,"D2",5000,91,"상환완료"
"제1559차 용인 메종 포레스트 타운하우스 D 신축사업 리파이낸싱 2차#1순위","수익률(연)12.42%?투자기간3개월?등급B2?모집금액9억9,902만원?투자인원1,497명",1559,"용인","메종",1,2,12.42,3,"B2",99902,1497,"상환완료"
"제1555차 용인 메종 포레스트 타운하우스 D 신축사업 리파이낸싱#1순위","수익률(연)12.42%?투자기간3개월?등급B2?모집금액10억원?투자인원1,417명",1555,"용인","메종",1,1,12.42,3,"B2",1e+05,1417,"상환완료"
"제1539차 광진 자양동 광진트라팰리스 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액1억80만원?투자인원153명",1539,"광진","자양동",2,1,9,6,"A2",180,153,"상환완료"
"제1535차 인천 주안동 생활형숙박시설 신축사업 6차#1순위","수익률(연)12.56%?투자기간4개월?등급B2?모집금액4,000만원?투자인원38명",1535,"인천","주안동",1,6,12.56,4,"B2",4000,38,"상환완료"
"제1534차 송파 잠실동 현대아파트 담보상품#2순위","수익률(연)9%?투자기간12개월?등급A2?모집금액1억3,000만원?투자인원235명",1534,"송파","잠실동",2,1,9,12,"A2",13000,235,"상환완료"
"제1533차 수원 세류동 단독주택 담보상품#1순위","수익률(연)9.5%?투자기간12개월?등급A2?모집금액1억5,000만원?투자인원290명",1533,"수원","세류동",1,1,9.5,12,"A2",15000,290,"상환완료"
"제1532차 서귀포 산방산 타운하우스 신축사업 7차#1순위","수익률(연)12.77%?투자기간6개월?등급B3?모집금액1억5,000만원?투자인원385명",1532,"서귀포","산방산",1,7,12.77,6,"B3",15000,385,"상환완료"
"제1531차 서산 테크노밸리 근린생활시설 신축사업 31차#1순위","수익률(연)14.5%?투자기간6개월?등급C3?모집금액3억원?투자인원638명",1531,"서산","테크노밸리",1,31,14.5,6,"C3",30000,638,"상환완료"
"제1524차 성남 서현동 서현모닝빌 담보상품#1순위","수익률(연)9.5%?투자기간12개월?등급A2?모집금액1억8,000만원?투자인원410명",1524,"성남","서현동",1,1,9.5,12,"A2",18000,410,"상환완료"
"제1522차 인천 용현동 오피스텔 및 근린상가 신축사업 14차#1순위","수익률(연)12%?투자기간7개월?등급B1?모집금액9,500만원?투자인원209명",1522,"인천","용현동",1,14,12,7,"B1",9500,209,"상환완료"
"제1511차 송파 장지동 위례24단지꿈에그린 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액1억50만원?투자인원71명",1511,"송파","장지동",2,1,9,6,"A2",150,71,"상환완료"
"제1509차 진안군청 인근 연립주택 신축사업 10차#1순위","수익률(연)12.28%?투자기간6개월?등급B1?모집금액1억1,000만원?투자인원243명",1509,"진안군청","인근",1,10,12.28,6,"B1",11000,243,"상환완료"
"제1508차 동작 사당동 단독주택 담보상품#1순위","수익률(연)9.3%?투자기간12개월?등급A3?모집금액2억5,000만원?투자인원377명",1508,"동작","사당동",1,1,9.3,12,"A3",25000,377,"상환완료"
"제1501차 성동 옥수동 옥수하이츠 리파이낸싱 2차#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액1억3,000만원?투자인원240명",1501,"성동","옥수동",2,2,9,6,"A2",13000,240,"상환완료"
"제1494차 구로 개봉동 한마을아파트 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액1억2,000만원?투자인원307명",1494,"구로","개봉동",2,1,9,6,"A2",12000,307,"상환완료"
"제1489차 성동 옥수동 옥수하이츠 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액1억원?투자인원220명",1489,"성동","옥수동",2,1,9,6,"A2",10000,220,"상환완료"
"제1488차 종로 구기동 건덕빌라 리파이낸싱#2순위","수익률(연)9.5%?투자기간6개월?등급A2?모집금액1억원?투자인원274명",1488,"종로","구기동",2,1,9.5,6,"A2",10000,274,"상환완료"
"제1487차 강남 청담동 진흥아파트 담보상품#3순위","수익률(연)9.2%?투자기간12개월?등급A2?모집금액3,000만원?투자인원87명",1487,"강남","청담동",3,1,9.2,12,"A2",3000,87,"상환완료"
"제1485차 마포 현석동 래미안웰스트림 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액4억5,000만원?투자인원591명",1485,"마포","현석동",2,1,9,6,"A2",45000,591,"상환완료"
"제1480차 영등포 도림동 아트자이아파트 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액1억2,000만원?투자인원276명",1480,"영등포","도림동",2,1,9,6,"A2",12000,276,"상환완료"
"제1476차 강서 방화동 한숲마을대림아파트 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액8,000만원?투자인원111명",1476,"강서","방화동",2,1,9,6,"A2",8000,111,"상환완료"
"제1475차 강서 염창동 이너스양화6차 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액5,000만원?투자인원111명",1475,"강서","염창동",2,1,9,6,"A2",5000,111,"상환완료"
"제1474차 강서 마곡동 마곡엠밸리 리파이낸싱#3순위","수익률(연)9%?투자기간6개월?등급A2?모집금액5,000만원?투자인원92명",1474,"강서","마곡동",3,1,9,6,"A2",5000,92,"상환완료"
"제1466차 합천아파트 신축사업 27차#1순위","수익률(연)12.98%?투자기간5개월?등급B2?모집금액5억원?투자인원1,074명",1466,"합천아파트","신축사업",1,27,12.98,5,"B2",50000,1074,"상환완료"
"제1465차 제주 신화월드 인근 공동주택 신축사업 19차#1순위","수익률(연)12.21%?투자기간6개월?등급B1?모집금액8억원?투자인원1,403명",1465,"제주","신화월드",1,19,12.21,6,"B1",80000,1403,"상환완료"
"제1464차 양평역 인근 다세대 신축사업 6차#1순위","수익률(연)13%?투자기간5개월?등급C1?모집금액1억9,000만원?투자인원362명",1464,"양평역","인근",1,6,13,5,"C1",19000,362,"상환완료"
"제1462차 마포 토정동 한강삼성아파트 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액1억원?투자인원199명",1462,"마포","토정동",2,1,9,6,"A2",10000,199,"상환완료"
"제1459차 노원 하계동 학여울청구아파트 담보상품#2순위","수익률(연)8.5%?투자기간6개월?등급A1?모집금액5,000만원?투자인원87명",1459,"노원","하계동",2,1,8.5,6,"A1",5000,87,"상환완료"
"제1458차 하남 덕풍동 풍산아이파크 리파이낸싱#2순위","수익률(연)9.5%?투자기간6개월?등급A3?모집금액3,000만원?투자인원78명",1458,"하남","덕풍동",2,1,9.5,6,"A3",3000,78,"상환완료"
"제1457차 서초 잠원동 상지리츠빌카일룸 리파이낸싱 2차#2순위","수익률(연)9%?투자기간6개월?등급A3?모집금액6억원?투자인원1,144명",1457,"서초","잠원동",2,2,9,6,"A3",60000,1144,"상환완료"
"제1456차 제주 신화월드 인근 공동주택 신축사업 18차#1순위","수익률(연)12.21%?투자기간6개월?등급B1?모집금액5억원?투자인원883명",1456,"제주","신화월드",1,18,12.21,6,"B1",50000,883,"상환완료"
"제1455차 서울 동선동 5가 다세대 신축사업 12차#2순위","수익률(연)15%?투자기간8개월?등급D2?모집금액7,000만원?투자인원53명",1455,"서울","동선동",2,12,15,8,"D2",7000,53,"상환완료"
"제1453차 서초 잠원동 상지리츠빌카일룸 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A3?모집금액3억원?투자인원452명",1453,"서초","잠원동",2,1,9,6,"A3",30000,452,"상환완료"
"제1452차 서산 테크노밸리 근린생활시설 신축사업 30차#1순위","수익률(연)14.5%?투자기간7개월?등급C3?모집금액1억원?투자인원178명",1452,"서산","테크노밸리",1,30,14.5,7,"C3",10000,178,"상환완료"
"제1449차 중구 신당동 단독주택 담보대출 21차#2순위","수익률(연)8.5%?투자기간3개월?등급A2?모집금액1억원?투자인원171명",1449,"중구","신당동",2,21,8.5,3,"A2",10000,171,"상환완료"
"제1447차 수원 북수동 상가주택 신축사업A 6차#2순위","수익률(연)15%?투자기간7개월?등급D2?모집금액1억원?투자인원128명",1447,"수원","북수동",2,6,15,7,"D2",10000,128,"상환완료"
"제1445차 성남 수내동 파크타운삼익아파트 담보상품#2순위","수익률(연)9.5%?투자기간12개월?등급B2?모집금액3억원?투자인원627명",1445,"성남","수내동",2,1,9.5,12,"B2",30000,627,"상환완료"
"제1446차 은평 신사동 라이프씨티아파트 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액5,000만원?투자인원110명",1446,"은평","신사동",2,1,9,6,"A2",5000,110,"상환완료"
"제1444차 금천 독산동 한신아파트 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액6,000만원?투자인원119명",1444,"금천","독산동",2,1,9,6,"A2",6000,119,"상환완료"
"제1443차 중구 신당동 단독주택 담보대출 20차#2순위","수익률(연)8.5%?투자기간3개월?등급A2?모집금액1억원?투자인원184명",1443,"중구","신당동",2,20,8.5,3,"A2",10000,184,"상환완료"
"제1441차 중구 신당동 단독주택 담보대출 19차#2순위","수익률(연)8.5%?투자기간3개월?등급A2?모집금액1억원?투자인원164명",1441,"중구","신당동",2,19,8.5,3,"A2",10000,164,"상환완료"
"제1439차 평택 국가산업단지 인근 다세대 신축 리파이낸싱 6차#1순위","수익률(연)13%?투자기간6개월?등급C1?모집금액2억원?투자인원345명",1439,"평택","국가산업단지",1,6,13,6,"C1",20000,345,"상환완료"
"제1438차 중구 신당동 단독주택 담보대출 18차#2순위","수익률(연)8.5%?투자기간3개월?등급A2?모집금액1억5,000만원?투자인원259명",1438,"중구","신당동",2,18,8.5,3,"A2",15000,259,"상환완료"
"제1436차 마포 도화동 삼성아파트 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액8,000만원?투자인원110명",1436,"마포","도화동",2,1,9,6,"A2",8000,110,"상환완료"
"제1434차 서산 테크노밸리 근린생활시설 신축사업 29차#1순위","수익률(연)14.5%?투자기간7개월?등급C3?모집금액5,000만원?투자인원70명",1434,"서산","테크노밸리",1,29,14.5,7,"C3",5000,70,"상환완료"
"제1432차 하남 덕풍동 풍산아이파크아파트 리파이낸싱#2순위","수익률(연)9%?투자기간6개월?등급A2?모집금액1억2,000만원?투자인원284명",1432,"하남","덕풍동",2,1,9,6,"A2",12000,284,"상환완료"
"제1431차 중구 신당동 단독주택 담보대출 16차#2순위","수익률(연)8.5%?투자기간3개월?등급A2?모집금액1억5,000만원?투자인원306명",1431,"중구","신당동",2,16,8.5,3,"A2",15000,306,"상환완료"
"제1430차 평택 국가산업단지 인근 다세대 신축 리파이낸싱 5차#1순위","수익률(연)13%?투자기간6개월?등급C1?모집금액4억원?투자인원598명",1430,"평택","국가산업단지",1,5,13,6,"C1",40000,598,"상환완료"
