"번호","지역","지역2","순위","차수","리파이낸싱","신축","다세대","타운하우스","건축자금","담보","NPL","근질권","ABL","주택","오피스텔","신도시","개발지구","마을","아파트","빌딩","빌라","상가","단독주택","수익률","투자기간","등급","모집금액","투자인원","Y"
52,"수유동","12세대",1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.5,9,"C1",25000,44,"0"
51,"일산","대화마을",1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,3,"A3",20000,32,"0"
50,"하계역","20세대",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,8,"B2",63000,126,"0"
49,"동두천중앙역24세대","신축빌라4차",1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.8,5,"B3",40000,65,"0"
48,"월곶역22세대","도시형생활주택2차",1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.2,6,"B2",40000,54,"0"
47,"수유동12세대","신축빌라",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.5,9,"C1",95000,251,"0"
46,"일산","대화마을",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,12,4,"A3",80000,193,"0"
45,"동두천중앙역24세대","신축빌라3차",1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.8,8,"B3",30000,48,"0"
44,"월곶역","22세대",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.2,6,"B2",80000,156,"0"
43,"서울","연희동",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.6,12,"B3",90000,226,"0"
42,"예산행정타운","인근",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.2,8,"C1",60000,133,"0"
41,"대구","죽곡신도시",1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,13,2,"B1",54000,93,"0"
40,"운정신도시","야당역",1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13.5,9,"B3",30000,77,"0"
39,"동두천중앙역24세대","신축빌라2차",1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.8,7,"B3",30000,96,"0"
38,"운정신도시","야당역",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13.5,10,"B3",115000,213,"0"
37,"평택시청앞","수익형",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,6,"B3",37000,88,"0"
36,"은평구","응암역",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.2,6,"B2",120000,132,"0"
35,"동두천","중앙역",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.8,8,"B3",70000,125,"0"
34,"수원","정자동",1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,6,"B2",22500,46,"0"
